iter	Passed	Remaining
322	67208	17270
323	67418	17062
324	67621	16853
325	67825	16644
326	68037	16437
327	68241	16228
328	68445	16019
329	68645	15809
330	68844	15599
331	69053	15391
332	69277	15186
333	69503	14982
334	69694	14771
335	69898	14562
336	70102	14353
337	70291	14141
338	70483	13930
339	70678	13719
340	70869	13508
341	71069	13299
342	71265	13089
343	71461	12879
344	71653	12669
345	71839	12457
346	72033	12247
347	72241	12040
348	72444	11831
349	72633	11621
350	72824	11411
351	73016	11201
352	73217	10992
353	73415	10784
354	73600	10573
355	73788	10363
356	73978	10153
357	74165	9944
358	74371	9736
359	74566	9527
360	74758	9318
361	74943	9109
362	75142	8901
363	75342	8693
364	75534	8484
365	75728	8276
366	75929	8068
367	76130	7861
368	76324	7653
369	76519	7445
370	76713	7237
371	76913	7029
372	77103	6821
373	77301	6614
374	77496	6406
375	77687	6198
376	77875	5990
377	78073	5783
378	78271	5576
379	78462	5368
380	78647	5160
381	78847	4953
382	79032	4746
383	79238	4539
384	79445	4333
385	79657	4127
386	79856	3920
387	80050	3713
388	80243	3506
389	80434	3299
390	80636	3093
391	80827	2886
392	81019	2680
393	81222	2473
394	81423	2267
395	81621	2061
396	81812	1854
397	82000	1648
398	82197	1442
399	82394	1235
400	82594	1029
401	82790	823
402	82977	617
403	83166	411
404	83351	205
405	83539	0
