iter	TotalF1	MultiClass
141	0.9480665956	0.1631129271
142	0.9480833595	0.1629434969
143	0.9480769905	0.1628505989
144	0.9480624913	0.1627504708
145	0.948060825	0.1625873245
146	0.9480815314	0.1624397664
147	0.9481609064	0.1622533096
148	0.9481603077	0.1620855355
149	0.9482010998	0.1619126406
150	0.9482366341	0.1617919739
151	0.9482443049	0.1616743701
152	0.9482228878	0.1615817182
153	0.948236372	0.1614467773
154	0.9482542616	0.1613127156
155	0.9482552	0.1611715886
156	0.9482831654	0.161037823
157	0.9483040706	0.1609403566
158	0.9483205423	0.1608230414
159	0.9483388324	0.1607238405
160	0.9483761995	0.1605772866
161	0.9483640268	0.1605003457
162	0.9483986471	0.1603683037
163	0.948410386	0.1603006021
164	0.9484247388	0.160140535
165	0.9484148005	0.1600716812
166	0.9484514628	0.1599448214
167	0.9484829728	0.1597867432
168	0.9484807239	0.1596473891
169	0.9485772538	0.1594611419
170	0.9486138726	0.1592349305
171	0.9485868277	0.1590826365
172	0.9485963014	0.1589334447
173	0.948603346	0.1587759043
174	0.948667859	0.158661826
175	0.9486530066	0.1585569665
176	0.9486297444	0.1583916663
177	0.9487237104	0.1582335629
178	0.9487142053	0.1581395451
179	0.9487686373	0.1578849379
180	0.9488063458	0.1577441677
181	0.9487718294	0.1576413205
182	0.9487823954	0.1575113112
183	0.9487827496	0.1574406293
184	0.948805169	0.1572870557
185	0.9488147932	0.1571329359
186	0.9488324879	0.1569909083
187	0.9487870596	0.156916394
188	0.9488079233	0.1568336525
189	0.9488557778	0.1567327025
190	0.9488704696	0.1566271019
191	0.948883553	0.1564628232
192	0.94886837	0.156311303
193	0.9489959284	0.1561213461
194	0.9489775021	0.156049929
195	0.9489519804	0.1559441596
196	0.9490072846	0.1557924307
197	0.9490451752	0.1556399302
198	0.9490465596	0.1554835075
199	0.9491340224	0.1553369899
200	0.9490819458	0.1552253608
201	0.9490707917	0.1551484796
202	0.9490584077	0.154986712
203	0.949099696	0.1548330967
204	0.9491413561	0.1547421331
205	0.949137723	0.1546465714
206	0.9491419037	0.1545218676
207	0.9491484524	0.1544240459
208	0.9491779019	0.1543229674
209	0.9492158848	0.1542496054
210	0.9492267826	0.1541521528
211	0.9492339297	0.1540113217
212	0.9492428112	0.1538517724
213	0.9492955465	0.1537583167
214	0.9493244375	0.1536394742
215	0.9493648762	0.1535030101
216	0.9493148751	0.1534349483
217	0.9493659755	0.1533120238
218	0.949371475	0.1531891088
219	0.9493558572	0.1530532243
220	0.9493770924	0.152989636
221	0.9494014297	0.1528975729
222	0.9494164658	0.1527756111
223	0.9494184803	0.1527000297
224	0.9494405971	0.1525961611
225	0.9494505073	0.15250401
226	0.9494853331	0.1523682019
227	0.9494756145	0.1522642806
228	0.9494583992	0.152197858
229	0.949459606	0.1520396231
230	0.9495053279	0.1519642531
231	0.9495118791	0.1518800804
232	0.9495477032	0.1517529897
233	0.9495510848	0.1515923229
234	0.9495421839	0.1515349796
235	0.9495730891	0.1513852093
236	0.9495843278	0.1511805389
237	0.9495767588	0.1510726867
238	0.9496088135	0.1510002148
239	0.9496427012	0.1508918099
240	0.9497434661	0.1506975891
241	0.9497785526	0.1506008542
242	0.9497951912	0.1505347052
243	0.9498018119	0.1503644387
244	0.9498022574	0.1502353079
245	0.9498648176	0.1500756226
246	0.9498870118	0.1498837361
247	0.9499488558	0.1496893285
248	0.9499655678	0.1496169615
249	0.9499958677	0.1495401532
250	0.9499913095	0.1494395684
251	0.9500089125	0.1493197844
252	0.9500057078	0.1491856335
253	0.9500107634	0.1490589283
254	0.9499892555	0.1489484946
255	0.9501376031	0.1487875289
256	0.9501530891	0.1486791369
257	0.9501336263	0.1485491671
258	0.9501354898	0.148398067
259	0.9501925617	0.1482334576
260	0.9502050273	0.1480879528
261	0.950204727	0.1480640597
262	0.950207144	0.1479662978
263	0.9502870687	0.1478239235
264	0.9502636564	0.1475903701
265	0.9503002123	0.1474869167
266	0.9503680346	0.147311509
267	0.9503651501	0.1472121758
268	0.9503939168	0.1470590775
269	0.9503775871	0.1469575616
270	0.9503956068	0.1468551407
271	0.9504650181	0.1466083832
272	0.9505052355	0.1465015558
273	0.9504688928	0.1464282535
274	0.9504809757	0.1463339275
275	0.9505247733	0.1462350026
276	0.9505667645	0.1461067536
277	0.9506193751	0.1459893996
278	0.950619056	0.1458911068
279	0.9506620476	0.1457457376
280	0.9506969188	0.1456457256
281	0.9507104454	0.1454690339
282	0.950759005	0.1453522131
283	0.950781567	0.14515973
284	0.950816173	0.1450555602
285	0.9508559369	0.1449033889
286	0.9508819444	0.1446887694
287	0.950890284	0.1445989395
288	0.9508992931	0.1444614635
